Word,log_freq_pm,Nletters,Nphon,Nsyll,Perc_known_final,letters_per_syll,phon_per_syll,letters_per_phon,letters_x_syll,phon_x_syll,is_lemma_match,lemma_length_diff,AoA_final,Age_Group
a,9.92408763187132,1,1,1,1.0,1.0,1.0,1.0,1,1,1,0,2.893383999999999,below_6
abandon,2.2080589195019296,7,7,3,1.0,2.3333333333333335,2.3333333333333335,1.0,21,21,1,0,8.32,age_8_plus
abandoned,2.659848099284332,9,8,3,1.0,3.0,2.6666666666666665,1.125,27,24,0,2,8.32,age_8_plus
abbey,1.4294665329850993,5,3,2,0.8571428571428571,2.5,1.5,1.6666666666666667,10,6,1,0,13.06,age_8_plus
abdomen,1.4708517491479536,7,7,3,1.0,2.3333333333333335,2.3333333333333335,1.0,21,21,1,0,8.61,age_8_plus
abdominal,1.4842747694800944,9,9,4,0.9444444444444444,2.25,2.25,1.0,36,36,1,0,10.24,age_8_plus
abducted,1.791759469228055,8,8,3,1.0,2.6666666666666665,2.6666666666666665,1.0,24,24,0,2,11.26,age_8_plus
abduction,1.5320061723012843,9,8,3,1.0,3.0,2.6666666666666665,1.125,27,24,1,0,11.94,age_8_plus
abide,1.3099213823353169,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,9.5,age_8_plus
abilities,1.962577201540525,9,8,4,1.0,2.25,2.0,1.125,36,32,0,2,8.84,age_8_plus
ability,3.006458851292634,7,7,4,1.0,1.75,1.75,1.0,28,28,1,0,8.84,age_8_plus
able,5.080795240277806,4,4,2,1.0,2.0,2.0,1.0,8,8,1,0,7.79,age_6_8
abnormal,1.3614791920001665,8,8,3,1.0,2.6666666666666665,2.6666666666666665,1.0,24,24,1,0,10.05,age_8_plus
aboard,3.3188098791743545,6,5,2,1.0,3.0,2.5,1.2,12,10,1,0,8.66217,age_8_plus
abort,1.7241661780955269,5,5,2,1.0,2.5,2.5,1.0,10,10,1,0,12.21,age_8_plus
abortion,2.108429078553088,8,7,3,1.0,2.6666666666666665,2.3333333333333335,1.1428571428571428,24,21,1,0,13.21,age_8_plus
about,8.197673696494734,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,5.070761000000001,below_6
above,3.909667291735687,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,4.548568000000001,below_6
abroad,1.7752846320245501,6,5,2,1.0,3.0,2.5,1.2,12,10,1,0,10.15415,age_8_plus
absence,1.9897527869194898,7,6,2,1.0,3.5,3.0,1.1666666666666667,14,12,1,0,7.7,age_6_8
absent,1.2721810543524694,6,6,2,1.0,3.0,3.0,1.0,12,12,1,0,6.5,age_6_8
absolute,2.510714533743873,8,7,3,1.0,2.6666666666666665,2.3333333333333335,1.1428571428571428,24,21,1,0,8.53,age_8_plus
absolutely,4.737229908001157,10,9,4,1.0,2.5,2.25,1.1111111111111112,40,36,1,0,7.084934000000001,age_6_8
abstract,1.1557707025080584,8,8,2,1.0,4.0,4.0,1.0,16,16,1,0,11.47,age_8_plus
absurd,2.370793343020579,6,5,2,0.9916536254564423,3.0,2.5,1.2,12,10,1,0,10.5,age_8_plus
abuse,2.42080376359524,5,5,2,1.0,2.5,2.5,1.0,10,10,1,0,8.61,age_8_plus
abused,1.7100814382137879,6,6,2,1.0,3.0,3.0,1.0,12,12,0,1,8.61,age_8_plus
academic,1.7346010553881064,8,8,4,1.0,2.0,2.0,1.0,32,32,1,0,9.74,age_8_plus
academy,2.5961322848982245,7,7,4,1.0,1.75,1.75,1.0,28,28,1,0,9.05,age_8_plus
accent,2.5784327077988234,6,6,2,0.9523809523809523,3.0,3.0,1.0,12,12,1,0,8.6,age_8_plus
accept,3.984981858213277,6,6,2,1.0,3.0,3.0,1.0,12,12,1,0,6.74,age_6_8
acceptable,1.8364953630694465,10,10,4,1.0,2.5,2.5,1.0,40,40,1,0,9.84,age_8_plus
acceptance,1.4247606419476866,10,9,3,1.0,3.3333333333333335,3.0,1.1111111111111112,30,27,1,0,8.56,age_8_plus
accepted,2.81576089410499,8,8,3,1.0,2.6666666666666665,2.6666666666666665,1.0,24,24,0,2,6.74,age_6_8
accepting,1.617250452170894,9,8,3,1.0,3.0,2.6666666666666665,1.125,27,24,0,3,6.74,age_6_8
accepts,1.1244201726239824,7,7,2,1.0,3.5,3.5,1.0,14,14,0,1,6.74,age_6_8
access,3.4863551900024623,6,5,2,1.0,3.0,2.5,1.2,12,10,1,0,9.1,age_8_plus
accessory,1.3564413979702095,9,7,4,1.0,2.25,1.75,1.2857142857142858,36,28,1,0,11.15,age_8_plus
accident,4.410299630609265,8,8,3,1.0,2.6666666666666665,2.6666666666666665,1.0,24,24,1,0,5.3,below_6
accidental,1.3862943611198906,10,10,4,1.0,2.5,2.5,1.0,40,40,1,0,6.75,age_6_8
accidents,2.03688192726104,9,9,3,1.0,3.0,3.0,1.0,27,27,0,1,5.3,below_6
accommodate,1.143348182509501,11,8,4,1.0,2.75,2.0,1.375,44,32,1,0,9.9,age_8_plus
accompanied,1.1180303745252111,11,9,4,1.0,2.75,2.25,1.2222222222222223,44,36,0,2,10.75,age_8_plus
accompany,1.7483469762927415,9,8,4,1.0,2.25,2.0,1.125,36,32,1,0,10.75,age_8_plus
accomplice,1.6554230256759237,10,8,3,1.0,3.3333333333333335,2.6666666666666665,1.25,30,24,1,0,9.78,age_8_plus
accomplish,1.9232462894781013,10,8,3,1.0,3.3333333333333335,2.6666666666666665,1.25,30,24,1,0,7.84,age_6_8
accomplished,2.1435203983643585,12,9,3,1.0,4.0,3.0,1.3333333333333333,36,27,0,2,7.84,age_6_8
according,3.758003036012158,9,7,3,1.0,3.0,2.3333333333333335,1.2857142857142858,27,21,1,0,8.44903,age_8_plus
account,3.822227006311431,7,5,2,1.0,3.5,2.5,1.4,14,10,1,0,8.26,age_8_plus
accountant,1.9708077006770406,10,8,3,1.0,3.3333333333333335,2.6666666666666665,1.25,30,24,1,0,11.67,age_8_plus
accounted,1.3911843464140823,9,7,3,1.0,3.0,2.3333333333333335,1.2857142857142858,27,21,0,2,8.26,age_8_plus
accounting,1.70652903660942,10,7,3,1.0,3.3333333333333335,2.3333333333333335,1.4285714285714286,30,21,1,0,12.05,age_8_plus
accounts,2.439786214507531,8,6,2,1.0,4.0,3.0,1.3333333333333333,16,12,0,1,8.26,age_8_plus
accurate,2.1796417067783525,8,6,3,1.0,2.6666666666666665,2.0,1.3333333333333333,24,18,1,0,9.44,age_8_plus
accusation,1.3360325263390023,10,9,4,1.0,2.5,2.25,1.1111111111111112,40,36,1,0,10.17,age_8_plus
accusations,1.3862943611198906,11,10,4,1.0,2.75,2.5,1.1,44,40,0,1,10.17,age_8_plus
accuse,1.900056844559191,6,5,2,1.0,3.0,2.5,1.2,12,10,1,0,9.1,age_8_plus
accused,2.6432502078752944,7,6,2,1.0,3.5,3.0,1.1666666666666667,14,12,0,1,9.1,age_8_plus
accusing,1.7819071727850435,8,7,3,1.0,2.6666666666666665,2.3333333333333335,1.1428571428571428,24,21,0,2,9.1,age_8_plus
ace,2.7552829751421886,3,2,1,1.0,3.0,2.0,1.5,3,2,1,0,8.83,age_8_plus
