name,category,service_kind,profession_type,address,suburb,state,postcode,latitude,longitude,phone,website,source,description,highlighted
24-7Medcare Psychology,Assessment,Medical/Psych,Psychologist,"Ground Floor,737 Burwood Road, Hawthorn, VIC, 3122",Hawthorn,VIC,3122,-37.8238804,145.0488157,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
AMS Psychology and Consulting Cragieburn,Assessment,Medical/Psych,Psychologist,"Level 1,31 Craigieburn Road, Craigieburn, VIC, 3064",Craigieburn,VIC,3064,-37.5990452,144.939224,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Adelaide Road Psychology,Assessment,Medical/Psych,Psychologist,"76 Adelaide Road, Gawler South, SA, 5118",Gawler South,SA,5118,-34.61116028,138.74368286,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Balanced Minds Psychology Practice,Assessment,Medical/Psych,Psychologist,"The Italian Forum,SUITE 47A,23 NORTON STREET, Leichhardt, NSW, 2040",Leichhardt,NSW,2040,-33.887211,151.1583777,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Bluebird Psychology,Assessment,Medical/Psych,Psychologist,"Unit 18,15-17 Terminus Street, Castle Hill, NSW, 2154",Castle Hill,NSW,2154,-33.73423767,151.00598145,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Central Psychology - Macedon Street Consulting Rooms,Assessment,Medical/Psych,Psychologist,"9 MacEdon Street, Sunbury, VIC, 3429",Sunbury,VIC,3429,-37.57733917,144.73275757,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Child and Adolescent Psychology Services,Assessment,Medical/Psych,Psychologist,"164 THE PARADE, Ascot Vale, VIC, 3032",Ascot Vale,VIC,3032,-37.77180225,144.90969008,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Clear Health Psychology Alkimos,Assessment,Medical/Psych,Psychologist,"Unit 1 & 2,15 Graceful Boulevard, Alkimos, WA, 6038",Alkimos,WA,6038,-31.6171563,115.6805868,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Cocoon Psychology,Assessment,Medical/Psych,Psychologist,"Level 2,8 KEILOR ROAD, Essendon North, VIC, 3041",Essendon North,VIC,3041,-37.74394247,144.90915579,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
Cognition Psychology,Assessment,Medical/Psych,Psychologist,"55 Painswick Street, Berserker, QLD, 4701",Berserker,QLD,4701,-23.36768913,150.52250671,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
"Connell, Dr Tim - Psychologist",Assessment,Medical/Psych,Psychologist,"99 Hall Street, Semaphore, SA, 5019",Semaphore,SA,5019,-34.8371582,138.48803711,To be added,To be added,Healthdirect NHSD Services Directory 2025,Assessment support identified from Healthdirect NHSD Services Directory 2025.,No
